Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
Lesotho,2330318,2.9,68.87,,,,,,,,,,48,38,12,43,89,88,22,61,53.06,,,,,,,,,,25,0,35.1,,43.56,,
Liberia,5418377,4.0,45.07,,,,,,0,,,,,,,,,,,75,60.75,,,,,,,,,,25,0,40.4,,3.26,,90
Libya,6888388,2.4,80.92,,13.74,,,,1,,,,,,,,,,,82,71.91,,,,,,,,,,24.5,0,53.3,2.5,,,
Liechtenstein,39584,1.53,101.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,22.4,,2.6,2.64,,
Lithuania,2718352,1.6,95.89,11330,,1.80,88.1,27.1,1.5,1.67,73.1,26.1,67,78,82,88,20,60,36,39,74.34,69.9,79.0,8.3,17.0,,,,,,15,42.77,67.6,2.7,4.57,,16
Luxembourg,654768,1.4,99.87,71296,,1.78,86.2,27.2,3,1.65,69.7,25.7,94,97,86,99,25,7,58,22,82.75,80.7,84.9,10.5,7.0,,,,,,28.69,45.78,72.3,2.3,0.34,,
Macao,704149,1.1,99.82,44072,,,,,,,,,89,69,100,98,48,51,56,,85.40,82.8,87.9,10.1,4.1,,,,,,12,12,,,,,
Madagascar,30325732,3.7,76.79,,,1.65,58.4,21.5,1,1.53,49.2,21.1,42,27,16,77,74,100,27,75,64.48,,,,,,,,,,20,0,40.2,,,,
Malawi,20931751,3.8,69.7,,,,,,,,,,,,,,,,,66,,,,,,,,,,,30,0,35,,1.81,,
Malaysia,34308525,1.8,87.58,7665,11.49,1.68,71.5,25.2,0,1.57,64.0,26.1,70,56,58,95,44,90,45,50,74.88,72.7,77.4,15.2,6.0,50.7,47.7,51.9,55.9,48.5,24,41.5,60.1,1.8,2.13,5.8,77
Maldives,521021,1.8,80.54,,,1.68,69.2,24.6,,1.54,62.4,26.3,,,,,,,,61,79.92,79.1,81.0,14.1,3.0,,,,,,15,15,,5.52,0.72,,
Mali,23293698,5.8,59.76,,,,,,,,,,,,,,,,,72,,,,,,,,,,,30,0,42,,,,94
Malta,535064,1.2,91.27,,,,,,,,,,83,69,91,98,75,52,55,49,82.86,,,,,52.7,53.2,44.3,48.6,48.3,35,35,63,0.7,1.59,,
Marshall Islands,41996,2.73,83.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,3.98,,
Mauritania,4862989,4.3,59.76,,,,,,,,,,,,,,,,,70,,,,,,,,,,,25,0,47.2,,2.77,,
Mauritius,1300557,1.4,86.56,7812,,1.73,73.6,24.6,,1.59,65.7,26.0,73,68,63,91,63,81,36,49,73.68,70.3,77.2,10.3,10.5,,,,,,15,15,59,1.6,2.92,,
Mexico,128455567,1.8,87.73,8845,14.92,1.70,79.3,27.5,1,1.57,70.7,28.5,48,33,45,42,82,61,61,69,70.21,66.1,74.9,14.9,9.4,,,,,,30,35,63.3,1.3,29.07,,45
Micronesia,115224,2.7,83.96,,,1.69,81.1,28.3,,1.59,79.6,31.4,,,,,,,,,70.71,,,,,,,,,,21,0,,,,,
Moldova,3435931,1.8,89.98,,,,,,1,,,,41,43,62,83,40,80,26,58,68.85,,,,,,,,,,12,36,58.2,3.3,4.10,,42
Monaco,36297,,104.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19.6,,1.7,,,
Mongolia,3447157,2.7,91.03,2241,12.77,1.70,74.7,25.8,0,1.60,67.8,26.6,56,42,62,82,44,90,34,67,70.97,66.5,75.7,21.4,6.1,,,,,,10,0,58.4,1,6.18,,
Montenegro,626408,1.7,85.78,6056,,1.83,90.4,27.0,1.5,1.70,75.3,26.2,46,52,65,86,53,77,36,54,73.82,70.8,77.0,11.4,14.8,,,,,,9,12.65,57.2,1.3,2.23,10.1,
Morocco,37840044,2.3,67.03,2567,,1.75,78.0,25.4,,1.61,68.7,26.6,53,38,48,82,81,84,31,62,74.04,71.9,76.4,17.5,6.2,50.7,48.4,47.5,48.6,44.5,31,38,49,,1.42,,91
Mozambique,33897354,4.5,72.5,,,,,,,,,,,,,,,,,75,59.33,,,,,,,,,,32,0,49.5,,3.51,,87
Myanmar,54577997,2.1,91.18,660,10.70,1.66,61.1,22.2,,1.54,54.7,23.0,22,11,30,21,50,100,20,80,65.67,62.5,69.0,17.1,9.8,,,,,,22,0,43.7,,2.26,,
Namibia,2604172,3.2,66.19,,,,,,0.5,,,,,,,,,,,51,59.27,,,,,,,,,,32,37,46.3,,17.68,,
Nauru,1278,3.4,,,,1.69,93.0,32.4,,1.58,82.2,33.1,,,,,,,,,,,,,,,,,,,25,0,,,,,
Nepal,30896590,2.0,42.99,595,,1.64,60.5,22.5,0,1.52,51.6,22.3,55,36,36,84,57,100,44,65,68.45,66.6,70.4,20.4,7.8,,,,,,30,36,53.6,,2.30,,
Netherlands,17618299,1.6,100.74,45337,15.87,1.84,87.9,26.1,2.5,1.70,73.2,25.3,80,99,83,95,21,25,57,21,81.46,79.9,83.1,10.2,9.8,,,,,,25,49.50,74,1.7,0.59,7,20
New Caledonia,292991,2.0,93.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,,,3.20,,
New Zealand,5228100,1.8,98.57,30141,13.99,1.78,88.9,28.2,2,1.65,75.9,28.0,90,100,81,97,36,9,56,15,82.21,80.5,84.0,11.5,6.8,41.0,57.2,54.1,53.9,50.5,28,39,71.2,1.7,0.74,13.2,
Nicaragua,7046310,2.3,52.69,,,,,,,,,,43,14,44,66,61,89,32,83,73.84,,,,,,,,,,30,0,62.6,0.8,7.19,,88
